Date          Time          Description
03/13/2025    ~1hr          Began design document, added topic paragraph and prompts for other members to start writing
03/16/2025    ~120 min      Learning the Python language and Python frameworks like Django and Vue
              and counting
03/16/2025    ~20 min       Wrote this report

03/24/2025    ~3hr          Played around with code to familiarize
03/27/2025     1hr 45min    Met with team to divide up work, updated gantt chart

04/03/2025    1hr 45 min    Used meeting time to become more familiar with program structure
04/05/2025    ~2hr          Learned how to write API calls for app
04/05/2025    <1hr          Began designing slides for RAPS
04/06/2025    2hr           Wrote more api calls
04/06/2025    30 min        Did more work on RAPS slides
4/21/2025     1hr 30min     Met with team to discuss in-class presentation, made tweaks to program
